test_accuracy,test_recall,test_precision,test_f1,subgroup_size,subgroup_mean_prob,subgroup_pct_above_threshold,subgroup_actual_recurrence_rate,overall_mean_prob,test_true_neg,test_false_pos,test_false_neg,test_true_pos,lambda
0.64,0.312,0.61,0.413,84,0.284,10.714,0.417,0.336,202,32,110,50,0.0
0.652,0.319,0.646,0.427,84,0.318,13.095,0.417,0.349,206,28,109,51,0.1
0.624,0.331,0.564,0.417,84,0.401,23.81,0.417,0.38,193,41,107,53,0.5
0.614,0.306,0.544,0.392,84,0.446,23.81,0.417,0.391,193,41,111,49,1.0
0.622,0.344,0.556,0.425,84,0.482,26.19,0.417,0.403,190,44,105,55,2.0
0.635,0.369,0.578,0.45,84,0.496,26.19,0.417,0.403,191,43,101,59,5.0
0.637,0.425,0.571,0.487,84,0.531,38.095,0.417,0.417,183,51,92,68,10.0
0.64,0.419,0.578,0.486,84,0.524,38.095,0.417,0.411,185,49,93,67,20.0
