seed,uc_test_acc,uc_test_recall,uc_subgroup_mean_p,c_test_acc,c_test_recall,c_subgroup_mean_p,recall_gain,subgroup_p_gain
0,0.6548223350253807,0.40625,0.31697526574134827,0.6345177664974619,0.41875,0.5229538679122925,0.012500000000000011,0.2059786021709442
1,0.6522842639593909,0.4,0.32992419600486755,0.6243654822335025,0.43125,0.5195125341415405,0.03125,0.18958833813667297
2,0.6345177664974619,0.3875,0.3023573160171509,0.6218274111675127,0.43125,0.5151733756065369,0.04375000000000001,0.212816059589386
3,0.631979695431472,0.425,0.35282331705093384,0.6142131979695431,0.425,0.5269041061401367,0.0,0.17408078908920288
4,0.6446700507614214,0.3625,0.3262917697429657,0.6395939086294417,0.36875,0.5217229127883911,0.006250000000000033,0.19543114304542542
